Item,Qty,Price (AUD),Site
"DUROCK Plate Mount Stabilizers V3, Innovative Pre-clipped Stem for Minimum Wire Wobble 2U 6.25U 7U Plate Keyboard Stabilizers V3 (Color: V3 BS 4x2u 1x6.25u)",1,$11.39,https://www.aliexpress.com/item/1005006528731543.html?spm=a2g0o.cart.0.0.4c3438dal21w6q&mp=1&pdp_npi=6%40dis%21AUD%21AUD+11.39%21AUD+11.39%21%21AUD+11.39%21%21%21%402103129017855613570607710e1021%2112000037543723481%21ct%21AU%21-1%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
110Pcs Outemu Switches for Mechanical Keyboard 3Pin Clicky Linear Tactile Silent Switch RGB LED SMD Gaming Mechan with MX Switch (Color: 110p DustProof Brown),1,$43.46,https://www.aliexpress.com/item/1005011976942889.html?spm=a2g0o.cart.0.0.4c3438dal21w6q&mp=1&pdp_npi=6%40dis%21AUD%21AUD+43.46%21AUD+3.08%21%21AUD+3.08%21%21%21%402103129017855613570607710e1021%2112000057186154978%21ct%21AU%21-1%21%211%210%21
100pcs/lot 1N4148W T4 BAV21W T3 SOD-123 1N4148WS BAV21WS SOD-323 1N4148WT SOD-523 1N4148 BAV21 BAV21W SMD Switching Diodes (Color: 1N4148W T4 SOD-123),1,$3.72,https://www.aliexpress.com/item/1005007160563285.html?spm=a2g0o.cart.0.0.4c3438dal21w6q&mp=1&pdp_npi=6%40dis%21AUD%21AUD+3.72%21AUD+2.27%21%21AUD+2.27%21%21%21%402103129017855613570607710e1021%2112000039653324544%21ct%21AU%21-1%21%211%210%21
"Original Raspberry Pi Pico Development Board,Pico or Pico H with Pin Header, support MciroPython/C++",1,$9.78,https://www.aliexpress.com/item/1005008714908011.html?spm=a2g0o.cart.0.0.4c3438dal21w6q&mp=1&pdp_npi=6%40dis%21AUD%21AUD+9.78%21AUD+4.79%21%21AUD+4.79%21%21%21%402103129017855613570607710e1021%2112000046359830441%21ct%21AU%21-1%21%211%210%21
100PCS SK6812MINI-E SK6812 MINI-E RGB 3228 LED chip SMD,1,$14.24,https://www.aliexpress.com/item/1005005956813491.html?spm=a2g0o.cart.0.0.2cd238daWuNwsJ&mp=1&pdp_npi=6%40dis%21AUD%21AUD+14.24%21AUD+13.39%21%21AUD+13.39%21%21%21%40210328df17855654955145397e10b6%2112000035024278716%21ct%21AU%21-1%21%211%210%21
XVX 119 Keys Black Transparent PC Keycaps 60/68/75/87/98/100 Mechanical Keyboard Key Cap Crystal Clear Keycaps for Gaming/Office (Color: black),1,$30.84,https://www.aliexpress.com/item/1005010587844811.html?spm=a2g0o.cart.0.0.675938daAlDdi5&mp=1&pdp_npi=6%40dis%21AUD%21AUD+30.95%21AUD+22.59%21%21AUD+22.59%21%21%21%40210328df17855662600466416e0d9f%2112000052907539638%21ct%21AU%21-1%21%211%210%21
"50pcs 5-30mm Anti-slip Black Self Adhesive Round Silicone Rubber Feet Pad Laptops Keyboards Calculators Monitors Anti-skid Pads (Size: OD 15mm, Color: Thick 0.5mm)",1,$3.25,https://www.aliexpress.com/item/1005012365785428.html?spm=a2g0o.productlist.main.9.4de19oaH9oaHuB&algo_pvid=cd5a83e3-1229-4647-a495-e3f16f297cca&algo_exp_id=cd5a83e3-1229-4647-a495-e3f16f297cca-8&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.31%212.31%21%21%211.60%211.60%21%4021030f4a17855681020947549e1149%2112000058187329086%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa8aafb62%3Bm03_new_user%3A-29895&curPageLogUid=XU7lr6tnileh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012365785428%7C_p_origin_prod%3A
"10/15/20/40/50/100pcs M1 M1.2 M1.4 M2 M2.5 M3 M4 M5 M6 M8 Thread Knurled Brass Heat Insert Nut Copper Embedment Embed Parts Nuts (Size: M2x3.5mm (50pcs), Color: Length 3.5mm)",1,$3.87,https://www.aliexpress.com/item/1005007424930348.html?spm=a2g0o.productlist.main.1.5d47dkVRdkVRFI&algo_pvid=f3287ffa-e8c5-45b6-be15-06364e1b8824&algo_exp_id=f3287ffa-e8c5-45b6-be15-06364e1b8824-0&pdp_ext_f=%7B%22order%22%3A%224489%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.44%211.46%21%21%2111.44%216.86%21%402101d2e717859226917101841e10da%2112000040708235172%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa8aafb62%3Bm03_new_user%3A-29895&curPageLogUid=nWZkAVTMulic&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007424930348%7C_p_origin_prod%3A
"7x3 mm Powerful Magnets 7mmx3mm Small Round Magnet 7x3mm For Home Refrigerators, Offices DIY 7*3 mm (Color: 20PCS, Size: 7x3mm)",1,$9.70,https://www.aliexpress.com/item/1005009743408781.html?spm=a2g0o.cart.0.0.5a4038dapRSJXy&mp=1&pdp_npi=6%40dis%21AUD%21AUD+9.70%21AUD+6.89%21%21AUD+6.89%21%21%21%402101ca9517859231451535510e2109%2112000050016793430%21ct%21AU%21-1%21%211%210%21
Pad Specific,,,
